,Fold selected features,Fold nb of features
Fold 61,"['pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'ploidy']",6
Fold 62,"['TFhigh_Classical', 'Deletion 22q13.33']",2
Fold 63,"['Sex', 'ARID1A', 'KDM6A', 'PLXNB2', 'SMAD4', 'FAT3', 'pMLC2_YAPpos_muralneglike_myCAFs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'TFlow_Classical', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'ECM-rich', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'Fibronectin_caf', 'ANXA2_ep', 'KRT5_ep', 'S100A2_ep']",22
Fold 64,"['pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'CEACAM6_ep', 'PDGFRab_caf', 'ANXA2_ep']",6
Fold 65,"['ARID1A', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs']",3
Fold 66,"['Sex', 'tls_presence', 'KDM6A', 'SMAD4', 'FAT3', 'PXDN', 'RNF43', 'ZFHX4', 'CDKN2A', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFlow_Classical', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'CD36_high_pericytes', 'ECM-rich', 'Immune infiltrated stroma', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'ESM1_caf', 'KRT20_ep', 'Fibronectin_caf', 'ANXA2_ep', 'iNOS_im', 'CD79A_im']",32
Fold 67,"['S100A4pos_NonnegBasal', 'TFhigh_Classical', 'YAP_pMLC2_ECM_high_iCAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im']",7
Fold 68,"['KDM6A', 'SMAD4', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'Deletion 1p36.11', 'PDGFRab_caf']",6
Fold 69,"['Sex', 'TAMs', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'Deletion 1p36.11', 'PDGFRab_caf', 'iNOS_im']",9
Fold 70,"['ARID1A', 'Deletion 22q13.33', 'Fibronectin_caf']",3
Fold 71,"['ARID1A', 'pMLC2_YAPpos_muralneglike_myCAFs', 'Nonnegpolarized', 'Deletion 22q13.33', 'Deletion 1p36.11']",5
Fold 72,"['ARID1A', 'PDGFRab_caf']",2
